mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
1.3400344848632812,0.03548375834411191,2.1551016171773276,0.21301399965417753,20,sqrt,3,10,100,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 100}",0.4442314895235079,0.4507784070954499,0.4579194607418219,0.45097645245359325,0.0055898452865447415,39,0.5632285014727445,0.5498774133272413,0.5422926626215043,0.5517995258071634,0.00865441022024334
2.6172587076822915,0.5509675190946471,5.343502680460612,0.23944240811017134,20,sqrt,3,10,200,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 200}",0.4433757843533268,0.44862048657308473,0.46018117450227214,0.45072581514289456,0.007020426900823545,40,0.5600661317534199,0.5464605501188402,0.545308331400407,0.550611671090889,0.006701841627905202
7.386769771575928,0.23515278744608314,1.1281697750091553,0.19705033213453077,20,sqrt,3,10,300,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 300}",0.4432866316838151,0.4504903035079686,0.4610296952958878,0.45160221016255714,0.007286120544885465,37,0.5587845052425148,0.5488659083973144,0.5474727807914714,0.5517077314771002,0.005036251670087277
1.5548235575358074,0.4032393445066061,3.0088935693105063,1.99132203838627,20,sqrt,3,13,100,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 13, 'n_estimators': 100}",0.4418590092624992,0.446507672258015,0.4545675823554829,0.4476447546253324,0.005250185694968336,56,0.5492812250014985,0.535128992867945,0.5303958896532724,0.538268702507572,0.008023187449287782
5.907086213429769,1.044513070972624,2.287426789601644,0.9667105932756233,20,sqrt,3,13,200,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 13, 'n_estimators': 200}",0.44049524933076056,0.4465193352302468,0.4571114819838329,0.44804202218161343,0.006868465552030935,54,0.5464296409326268,0.5363161959096497,0.5326413012908972,0.5384623793777245,0.005830046033431846
7.820033470789592,0.26684542512217907,0.7284407615661621,0.11661787557251083,20,sqrt,3,13,300,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 13, 'n_estimators': 300}",0.4394020325054031,0.4478517336650263,0.4566638360719748,0.4479725340808014,0.0070476194632450384,55,0.5446691765526425,0.5377982256805822,0.5323620015148827,0.5382764679160358,0.005035750594786785
3.4058212439219155,1.4891932053523846,3.1712356408437095,0.615965351525154,20,sqrt,3,15,100,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 15, 'n_estimators': 100}",0.4398980376095052,0.44378007064713865,0.45526495381289533,0.44631435402317976,0.006524439826430173,66,0.5417963247216647,0.5284681818596226,0.5255771254628998,0.5319472106813957,0.007063678801017969
3.3324947357177734,0.1402859444457492,4.323104699452718,0.30130892972651013,20,sqrt,3,15,200,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 15, 'n_estimators': 200}",0.44074153133262606,0.4438503891265221,0.45667631849773493,0.4470894129856277,0.006896753688957397,62,0.5435476288385725,0.5286865816144484,0.5283620039856313,0.5335320714795507,0.007083308058065066
5.547072887420654,1.1424316964716459,2.844890276590983,1.0577281920671595,20,sqrt,3,15,300,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 15, 'n_estimators': 300}",0.4392807051627512,0.44449957426877595,0.4564628626849352,0.44674771403882074,0.0071924605710205975,63,0.5406897215695747,0.5289491590531612,0.5282356491383295,0.5326248432536885,0.005710164667046526
3.2752575079600015,0.7699752321608325,3.904484510421753,0.1135763670487285,20,sqrt,4,10,100,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",0.43467101253761187,0.44105412805900457,0.44828916225335214,0.44133810094998954,0.005563211355095182,85,0.5372280694212261,0.5258675400208543,0.5205050305255478,0.5278668799892094,0.006971992910131679
4.827790975570679,1.0519140832382405,3.0147523880004883,1.0118160743355291,20,sqrt,4,10,200,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",0.43506247586428703,0.4410512286252676,0.4499769653694168,0.4420302232863238,0.0061280405900221635,84,0.5378070077081067,0.5261931934705047,0.5224174911002495,0.528805897426287,0.0065487389028371324
7.458635648091634,0.08077162453842265,0.7119018236796061,0.07506131787453867,20,sqrt,4,10,300,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 300}",0.4347442984474593,0.44228466527437627,0.45097738572859636,0.44266878315014396,0.0066326938004663185,82,0.5361879858328528,0.527885983442535,0.5233763351094818,0.5291501014616232,0.0053061658686884014
5.769787549972534,0.06772350518593653,1.6731334527333577,0.17704161046900932,20,sqrt,4,13,100,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 13, 'n_estimators': 100}",0.4350535704532932,0.4396804266438743,0.451756553935562,0.4421635170109098,0.00704138800854798,83,0.5332895673226508,0.5210819825242832,0.5200625553612893,0.524811368402741,0.006009420417385282
3.752694845199585,1.7817266922269328,2.3260947863260903,1.6932605365930988,20,sqrt,4,13,200,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 13, 'n_estimators': 200}",0.43571513601851164,0.43884893741389697,0.4537501227218891,0.44277139871809923,0.00786784440449324,80,0.5328131591951426,0.5189218325274523,0.5201811436313666,0.5239720451179871,0.006272715504897257
3.900923728942871,0.427358425398985,4.005012591679891,0.07207871763248197,20,sqrt,4,13,300,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 13, 'n_estimators': 300}",0.43478992121358484,0.43992814681207093,0.45355680166291856,0.4427582898961915,0.007918595534451062,81,0.5310358843005993,0.5204941601235633,0.5200562080106688,0.5238620841449438,0.005075792681493845
1.8919382095336914,0.52500797107157,4.623828728993733,0.11254739641119713,20,sqrt,4,15,100,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 15, 'n_estimators': 100}",0.43100612678410566,0.43764857133027846,0.4466958701833107,0.4384501894325649,0.0064303424309886505,90,0.52692330338285,0.5151950048074004,0.5070001074738784,0.5163728052213763,0.008176137807391586
5.073338349660237,0.4819966599498001,2.8348240852355957,0.48147132914660673,20,sqrt,4,15,200,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 15, 'n_estimators': 200}",0.4310421067007033,0.43840769641231025,0.4517942161624151,0.44041467309180954,0.00859005154512116,87,0.5243521807726499,0.5151014417504998,0.5132338695146639,0.5175624973459378,0.004861193769040854
6.406596342722575,0.7128686866147794,1.5554738839467366,0.6512352751700697,20,sqrt,4,15,300,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 15, 'n_estimators': 300}",0.4302402195498872,0.4381330119302712,0.4511475266209106,0.43984025270035637,0.008620320006658565,89,0.5222332032222545,0.5151409350562347,0.5125456620097045,0.516639933429398,0.004094497183478752
